name_with_owner,stars,primary_language,prs_merged,prs_closed,prs_total
MunGell/awesome-for-beginners,84919,,482,1180,1662
modelcontextprotocol/servers,84397,TypeScript,1199,1612,2811
laravel/laravel,84063,Blade,1686,3443,5129
astral-sh/uv,83798,Rust,8895,935,9830
macrozheng/mall,83483,Java,1,146,147
realworld-apps/realworld,83233,TypeScript,434,483,917
syncthing/syncthing,82987,Go,2855,1814,4669
animate-css/animate.css,82527,CSS,315,586,901
bregman-arie/devops-exercises,82133,Python,309,116,425
DopplerHQ/awesome-interview-questions,82107,,175,36,211
sherlock-project/sherlock,81785,Python,738,589,1327
tonsky/FiraCode,81479,Clojure,144,58,202
garrytan/gstack,81265,TypeScript,200,401,601
spring-projects/spring-boot,80479,Java,88,7391,7479
Developer-Y/cs-video-courses,80449,,265,55,320
vitejs/vite,80171,TypeScript,6237,1847,8084
junegunn/fzf,79730,Go,657,444,1101
zed-industries/zed,79614,Rust,23770,3565,27335
anuraghazra/github-readme-stats,79134,JavaScript,1568,1295,2863
hoppscotch/hoppscotch,79012,TypeScript,2080,963,3043
doocs/advanced-java,78957,Java,91,51,142
infiniflow/ragflow,78844,Python,5899,681,6580
localsend/localsend,78696,Dart,703,109,812
netdata/netdata,78572,C,11985,1323,13308
vllm-project/vllm,77872,Python,15976,6469,22445
Stirling-Tools/Stirling-PDF,77689,TypeScript,3335,776,4111
tensorflow/models,77668,Python,2344,1345,3689
d2l-ai/d2l-zh,77406,Python,1019,255,1274
nomic-ai/gpt4all,77363,C++,938,222,1160
openai/codex,77276,Rust,5782,3085,8867
coder/code-server,77237,TypeScript,1671,479,2150
swisskyrepo/PayloadsAllTheThings,77115,Python,567,165,732
jesseduffield/lazygit,76922,Go,1875,363,2238
elastic/elasticsearch,76569,Java,89542,12038,101580
FortAwesome/Font-Awesome,76528,JavaScript,220,474,694
PaddlePaddle/PaddleOCR,76349,Python,3151,741,3892
ventoy/Ventoy,76039,C,296,169,465
sdmg15/Best-websites-a-programmer-should-visit,75997,,431,582,1013
karpathy/autoresearch,75967,Python,7,199,206
typicode/json-server,75558,JavaScript,171,233,404
lobehub/lobehub,75535,TypeScript,5062,1573,6635
nestjs/nest,75299,TypeScript,8269,2343,10612
awesomedata/awesome-public-datasets,74166,,188,108,296
unionlabs/union,74128,Rust,3103,330,3433
redis/redis,73968,C,4516,2601,7117
dair-ai/Prompt-Engineering-Guide,73732,MDX,342,63,405
tesseract-ocr/tesseract,73692,C++,1434,244,1678
vuejs/awesome-vue,73608,,3622,392,4014
grafana/grafana,73385,TypeScript,64999,10809,75808
twitter/the-algorithm,73048,Scala,2,378,380
enaqx/awesome-react,73007,,797,619,1416
openai/openai-cookbook,72922,Jupyter Notebook,1020,510,1530
ocornut/imgui,72765,C++,420,1111,1531
apache/superset,72552,TypeScript,17002,5023,22025
thedaviddias/Front-End-Checklist,72509,,179,135,314
PKUFlyingPig/cs-self-learning,72475,HTML,315,61,376
python/cpython,72425,Python,58365,10005,68370
daytonaio/daytona,72374,TypeScript,2176,1078,3254
abi/screenshot-to-code,72329,TypeScript,77,89,166
josephmisiti/awesome-machine-learning,72266,Python,914,148,1062
strapi/strapi,71986,TypeScript,9741,2824,12565
OpenHands/OpenHands,71915,Python,6833,2769,9602
obsproject/obs-studio,71885,C,5437,2012,7449
caddyserver/caddy,71778,Go,2295,535,2830
