repository_name,class_count,loc_total,loc_mean,loc_median,loc_stdev,cbo_mean,cbo_median,cbo_stdev,cbo_min,cbo_max,dit_mean,dit_median,dit_stdev,dit_min,dit_max,lcom_mean,lcom_median,lcom_stdev,lcom_min,lcom_max
sonarqube,8553,418835,48.9694,26.0,75.6516,7.2896,5.0,8.8785,0.0,316.0,1.1609,1.0,0.4909,1.0,10.0,27.6893,0.0,202.9968,0.0,6693.0
GoGoGo,48,3813,79.4375,18.5,169.7338,7.7083,4.0,13.429,0.0,82.0,1.4583,1.0,0.7133,1.0,4.0,12.875,1.0,46.0982,0.0,293.0
ViewPagerIndicator,66,2947,44.6515,13.0,100.5477,6.0152,6.0,5.2257,0.0,26.0,2.7121,3.0,1.2498,1.0,4.0,29.2727,0.0,127.3397,0.0,927.0
aws-doc-sdk-examples,1664,82925,49.8347,29.0,63.6201,7.1238,5.0,6.5917,0.0,63.0,1.0403,1.0,0.3105,1.0,6.0,6.3522,1.0,24.6576,0.0,404.0
JsBridge,32,1160,36.25,5.0,59.7144,3.5,1.5,5.0032,0.0,18.0,1.1562,1.0,0.3689,1.0,2.0,17.0938,0.0,51.7403,0.0,211.0
spring-reading,290,3039,10.4793,8.0,8.5277,2.8069,3.0,2.1349,0.0,12.0,1.0276,1.0,0.1641,1.0,2.0,0.5345,0.0,3.2037,0.0,45.0
easypermissions,33,1705,51.6667,28.0,63.3451,8.9394,8.0,5.8038,0.0,26.0,1.4848,1.0,0.6185,1.0,3.0,12.2121,6.0,21.7741,0.0,89.0
glide-transformations,27,991,36.7037,27.0,39.6425,5.5556,5.0,3.3551,0.0,11.0,2.1481,2.0,0.7698,1.0,3.0,2.7778,0.0,4.5348,0.0,15.0
paascloud-master,744,16488,22.1613,11.0,39.7589,6.0027,4.0,5.8671,0.0,59.0,1.336,1.0,0.6182,1.0,5.0,5.4435,0.0,25.5841,0.0,496.0
MagicIndicator,103,4533,44.0097,21.0,64.5812,5.0,4.0,4.5353,0.0,16.0,1.3398,1.0,0.5697,1.0,4.0,26.9417,3.0,79.4616,0.0,506.0
feign,1312,39686,30.2485,9.0,64.0678,5.0404,3.0,6.2216,0.0,59.0,1.6761,1.0,3.1754,1.0,92.0,14.4459,0.0,90.61,0.0,1653.0
spring-boot-api-project-seed,15,484,32.2667,12.0,45.306,5.0,4.0,4.6752,0.0,15.0,1.2667,1.0,0.7988,1.0,4.0,9.7333,0.0,18.6719,0.0,60.0
AVLoadingIndicatorView,92,2161,23.4891,6.0,36.1479,3.5652,2.0,2.3641,0.0,13.0,1.7826,1.0,1.0465,1.0,4.0,6.75,0.0,42.8446,0.0,297.0
CoreNLP,4305,557599,129.5236,26.0,1010.2722,5.9482,4.0,7.9052,0.0,224.0,1.6518,1.0,2.4835,1.0,121.0,148.5786,0.0,1831.5545,0.0,83638.0
Fragmentation,284,8981,31.6232,11.0,57.7556,5.2324,3.0,5.1647,0.0,27.0,1.7077,1.0,1.0973,1.0,5.0,15.1162,0.0,102.2694,0.0,1547.0
spark,221,9588,43.3846,20.0,60.8114,4.543,3.0,4.7342,0.0,28.0,1.2986,1.0,0.7813,1.0,5.0,47.1176,0.0,408.4721,0.0,5565.0
android-gif-drawable,64,2949,46.0781,21.0,75.1344,6.125,4.0,6.3633,0.0,37.0,1.6562,1.0,1.2875,1.0,10.0,59.7344,0.0,286.6599,0.0,2124.0
Android-ObservableScrollView,335,12621,37.6746,13.0,67.6615,5.0149,3.0,4.6063,0.0,24.0,1.9672,2.0,1.1667,1.0,7.0,7.5701,0.0,30.685,0.0,447.0
spinnaker,8401,244337,29.0843,13.0,57.0037,6.6364,5.0,6.9071,0.0,109.0,1.5071,1.0,1.03,1.0,23.0,14.1025,0.0,213.532,0.0,12246.0
DanmakuFlameMaster,172,12879,74.8779,20.0,141.3817,5.1628,3.0,6.1204,0.0,37.0,1.6105,1.0,1.3742,1.0,14.0,47.5058,1.0,158.9376,0.0,938.0
flyway,750,31728,42.304,19.0,78.8028,5.9187,4.0,5.6672,0.0,46.0,1.4773,1.0,0.8944,1.0,6.0,51.2027,1.0,597.7066,0.0,15930.0
EhViewer,601,44372,73.8303,25.0,155.9531,7.1448,4.0,10.2004,0.0,97.0,1.822,1.0,1.5099,1.0,16.0,45.2629,1.0,450.4538,0.0,10754.0
android-Ultra-Pull-To-Refresh,161,5476,34.0124,10.0,79.0315,4.0435,2.0,4.3436,0.0,23.0,1.4161,1.0,0.7546,1.0,5.0,19.1429,0.0,138.9565,0.0,1670.0
Mycat-Server,1291,92943,71.993,33.0,120.5471,4.9404,3.0,6.396,0.0,61.0,1.2936,1.0,0.7195,1.0,12.0,78.488,0.0,882.9322,0.0,19242.0
cim,205,5942,28.9854,13.0,41.1188,4.8341,4.0,4.8245,0.0,32.0,1.278,1.0,0.7381,1.0,7.0,8.0146,0.0,31.2936,0.0,378.0
AndroidSlidingUpPanel,17,2011,118.2941,8.0,270.3814,4.9412,2.0,6.6377,0.0,26.0,1.3529,1.0,0.7859,1.0,4.0,132.0,0.0,373.9407,0.0,1431.0
AgentWeb,256,11320,44.2188,12.0,93.1253,5.3984,3.0,7.3483,0.0,55.0,1.4883,1.0,0.998,1.0,9.0,18.793,0.0,99.1625,0.0,1447.0
cassandra,13113,780766,59.5414,23.0,118.4479,6.8614,5.0,8.0688,0.0,162.0,1.7577,1.0,1.824,1.0,65.0,60.553,1.0,1450.74,0.0,134219.0
JsonPath,384,17152,44.6667,15.0,85.9919,4.5938,3.0,4.9664,0.0,29.0,1.4766,1.0,1.074,1.0,13.0,29.3906,0.0,121.2187,0.0,1711.0
PocketHub,212,6980,32.9245,21.0,40.6016,6.5755,5.0,5.3413,0.0,43.0,1.4811,1.0,0.7633,1.0,4.0,9.0425,0.0,35.2517,0.0,351.0
AndroidNote,8,402,50.25,28.5,55.6308,4.875,1.0,5.9866,0.0,16.0,1.375,1.0,0.5175,1.0,2.0,8.125,3.0,12.744,0.0,37.0
testing-samples,86,1849,21.5,19.0,15.8209,5.5,5.5,3.5472,0.0,14.0,1.3488,1.0,0.5262,1.0,3.0,3.1512,0.0,6.8057,0.0,28.0
CalendarView,176,11557,65.6648,28.5,117.0104,6.5682,4.0,7.1247,0.0,38.0,2.1591,1.0,1.492,1.0,5.0,53.1818,3.0,390.128,0.0,5074.0
spring-security,7176,288824,40.2486,16.0,74.4183,7.6458,5.0,8.4137,0.0,232.0,1.2641,1.0,0.7587,1.0,21.0,10.4908,0.0,50.4793,0.0,1317.0
automq,9321,676318,72.5585,25.0,178.3174,7.1798,4.0,12.0472,0.0,449.0,1.3459,1.0,0.8567,1.0,17.0,45.8948,0.0,594.9123,0.0,32843.0
android-gpuimage,153,6341,41.4444,16.0,102.8688,2.9608,2.0,3.7485,0.0,26.0,2.1569,2.0,1.1927,1.0,7.0,11.3007,0.0,54.176,0.0,549.0
jmeter,1709,126971,74.2955,34.0,115.6363,5.5278,4.0,5.9628,0.0,95.0,1.8882,2.0,1.2921,1.0,11.0,62.2235,3.0,381.9106,0.0,9890.0
VirtualAPK,163,7981,48.9632,17.0,100.7616,4.8957,3.0,6.168,0.0,36.0,1.6135,1.0,1.4287,1.0,17.0,17.5767,1.0,66.2798,0.0,526.0
opendataloader-pdf,155,15812,102.0129,56.0,119.659,7.4516,5.0,7.0206,0.0,43.0,1.1871,1.0,0.4075,1.0,3.0,52.0839,1.0,221.9363,0.0,2563.0
Jetpack-MVVM-Best-Practice,119,3691,31.0168,12.0,51.4824,4.8403,3.0,5.079,0.0,22.0,1.6218,1.0,1.0735,1.0,6.0,12.0,0.0,68.9678,0.0,721.0
MaterialDesignLibrary,82,2927,35.6951,13.5,50.5876,4.5366,3.0,4.4947,0.0,17.0,1.8171,1.0,1.2285,1.0,6.0,6.7561,0.0,18.9049,0.0,106.0
HMCL,1587,97432,61.3938,26.0,96.1089,6.7952,4.0,8.1359,0.0,97.0,1.6957,1.0,1.517,1.0,35.0,35.259,1.0,333.5767,0.0,9461.0
Android_Data,2,116,58.0,58.0,24.0416,2.0,2.0,2.8284,0.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,4.2426,0.0,6.0
seatunnel,5275,301761,57.2059,19.0,171.0542,6.8948,5.0,7.2681,0.0,72.0,1.3752,1.0,0.7408,1.0,13.0,32.0326,1.0,392.1736,0.0,18316.0
LSPatch,146,7008,48.0,18.5,113.5785,4.3425,2.0,5.8962,0.0,48.0,1.3493,1.0,0.8598,1.0,6.0,23.8767,0.0,186.8812,0.0,2231.0
spring-ai-alibaba,2411,115898,48.0705,20.0,77.6142,6.3032,4.0,7.0442,0.0,74.0,1.2095,1.0,0.6249,1.0,9.0,13.6599,1.0,63.1225,0.0,1278.0
ysoserial,120,3851,32.0917,19.0,39.5281,5.4583,3.0,5.6552,0.0,24.0,1.3417,1.0,0.6673,1.0,5.0,8.8917,1.0,57.4585,0.0,628.0
flowable-engine,9171,536423,58.4912,21.0,144.5051,6.5371,4.0,9.4151,0.0,403.0,1.6489,1.0,0.9967,1.0,10.0,151.2327,1.0,2964.6578,0.0,210791.0
jna,2384,107353,45.0306,11.0,161.7684,4.8641,3.0,6.6079,0.0,75.0,2.5348,2.0,4.9612,1.0,125.0,44.5864,0.0,513.4095,0.0,16469.0
karate,578,65590,113.4775,52.0,185.4174,5.5519,4.0,6.0088,0.0,47.0,1.2007,1.0,0.5986,1.0,8.0,147.9654,3.0,485.3689,0.0,5460.0
storm,851,60552,71.1539,18.0,366.3735,4.4336,3.0,5.1558,0.0,53.0,1.2855,1.0,0.9227,1.0,20.0,33.0705,1.0,133.1413,0.0,2111.0
StatusBarUtil,33,1036,31.3939,11.0,70.3251,4.1515,3.0,3.5278,0.0,13.0,1.5455,1.0,0.8326,1.0,3.0,22.5455,0.0,124.493,0.0,716.0
PojavLauncher,402,27149,67.5348,23.5,252.5479,6.2338,3.0,8.1943,0.0,66.0,1.4104,1.0,0.6907,1.0,6.0,124.7313,1.0,1599.1227,0.0,30874.0
awesome-java-leetcode,72,1772,24.6111,24.0,10.879,1.6806,2.0,0.5522,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.1667,1.0,0.692,0.0,3.0
baritone,473,22328,47.2051,19.0,90.193,6.6998,4.0,8.2828,0.0,65.0,1.3869,1.0,0.8081,1.0,6.0,22.167,1.0,128.1924,0.0,1653.0
Android-PullToRefresh,82,3567,43.5,17.5,111.7599,6.0244,4.5,5.8478,0.0,34.0,2.1098,2.0,1.3609,1.0,7.0,55.8415,1.0,370.8636,0.0,3334.0
Android-Debug-Database,61,2393,39.2295,11.0,64.3743,4.1475,4.0,3.8028,0.0,21.0,1.2787,1.0,0.5206,1.0,3.0,8.8033,0.0,22.7983,0.0,151.0
Android-SpinKit,71,1812,25.5211,11.0,41.8838,4.8169,5.0,3.5348,0.0,17.0,3.169,2.0,2.4668,1.0,9.0,21.5211,1.0,134.5702,0.0,1123.0
react-native-image-picker,11,818,74.3636,21.0,132.3845,6.1818,4.0,6.4315,1.0,22.0,1.5455,2.0,0.5222,1.0,2.0,66.1818,1.0,211.2401,0.0,703.0
AndResGuard,66,6506,98.5758,41.5,159.1263,3.5303,2.0,4.5581,0.0,25.0,1.5,1.0,0.8638,1.0,4.0,22.3788,1.5,44.3371,0.0,224.0
shenyu,3679,149017,40.5048,23.0,51.5397,6.0563,4.0,6.1055,0.0,56.0,1.2291,1.0,0.5773,1.0,5.0,18.2354,1.0,67.4806,0.0,1484.0
testcontainers-java,924,32581,35.2608,20.0,49.0923,5.3539,5.0,4.8189,0.0,65.0,1.4892,1.0,0.841,1.0,13.0,21.7608,1.0,163.4316,0.0,4419.0
dropwizard,1380,39898,28.9116,13.0,48.5281,6.0145,4.0,5.9993,0.0,58.0,1.5196,1.0,1.0135,1.0,13.0,18.8841,0.0,215.0209,0.0,6786.0
tsunami-security-scanner,298,9082,30.4765,13.0,44.4381,6.2282,5.0,6.1108,0.0,36.0,1.5268,1.0,0.9397,1.0,5.0,15.1208,1.0,53.54,0.0,561.0
epoxy,637,48686,76.4301,12.0,105.3669,7.5353,5.0,6.4978,0.0,37.0,1.7645,2.0,1.0315,1.0,18.0,148.3909,1.0,309.5102,0.0,2353.0
Calligraphy,25,968,38.72,16.0,51.1245,5.72,5.0,5.0623,0.0,17.0,1.44,1.0,0.5831,1.0,3.0,11.36,3.0,26.9442,0.0,132.0
junit4,1471,32946,22.397,8.0,45.8152,3.741,3.0,4.1467,0.0,44.0,1.4541,1.0,1.0191,1.0,13.0,12.9613,0.0,130.5393,0.0,3891.0
iceberg,4865,337221,69.3157,31.0,108.9363,8.6008,6.0,8.4534,0.0,88.0,1.6341,1.0,1.5877,1.0,51.0,36.9102,1.0,177.5749,0.0,4422.0
aeron,1345,127180,94.5576,34.0,197.7611,7.9353,4.0,10.0803,0.0,88.0,1.2825,1.0,0.8646,1.0,9.0,118.8684,0.0,1322.5423,0.0,39106.0
AndroidPdfViewer,57,3325,58.3333,10.0,144.4832,4.8596,1.0,8.1118,0.0,51.0,1.2456,1.0,0.6059,1.0,4.0,76.7719,0.0,440.4734,0.0,3311.0
hsweb-framework,858,26153,30.4814,11.5,63.545,6.2063,4.0,6.2317,0.0,48.0,1.3392,1.0,1.0552,1.0,14.0,11.5291,0.0,41.1155,0.0,559.0
im-server,1035,161275,155.8213,22.0,1515.0407,6.5768,3.0,8.6256,0.0,103.0,1.5449,1.0,2.4973,1.0,78.0,112.1778,1.0,466.2036,0.0,12403.0
BottomBar,66,2834,42.9394,6.0,111.7863,4.9091,2.0,6.8337,0.0,45.0,1.2879,1.0,0.6267,1.0,4.0,61.6667,0.0,332.0319,0.0,2286.0
javacv,223,26976,120.9686,48.0,189.2208,6.1256,4.0,6.7705,0.0,35.0,2.13,1.0,1.9233,1.0,13.0,134.8475,1.0,709.5326,0.0,7451.0
transmittable-thread-local,155,6932,44.7226,23.0,66.3005,5.5871,5.0,3.7326,0.0,15.0,1.4323,1.0,1.0932,1.0,9.0,12.3548,1.0,38.2609,0.0,365.0
UltimateAndroidReference,1,22,22.0,22.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
shardingsphere-elasticjob,596,15593,26.1628,13.0,34.991,5.4849,4.0,5.1682,0.0,36.0,1.1544,1.0,0.5018,1.0,4.0,3.193,0.0,12.5652,0.0,170.0
LeetCode-Book,494,5741,11.6215,9.0,7.9018,1.2955,1.0,0.9239,0.0,5.0,1.002,1.0,0.045,1.0,2.0,0.081,0.0,0.4825,0.0,6.0
atlas,2194,157514,71.7931,22.0,305.7068,5.8149,4.0,6.9868,0.0,67.0,1.4385,1.0,0.915,1.0,13.0,29.8842,1.0,157.4884,0.0,5441.0
beam,16541,754758,45.6295,16.0,100.1633,7.4854,5.0,8.2295,0.0,141.0,1.5294,1.0,1.3845,1.0,39.0,20.3065,0.0,174.0458,0.0,11781.0
pentaho-kettle,11362,793177,69.8096,11.0,197.4991,6.0598,2.0,9.2604,0.0,298.0,1.2814,1.0,0.6149,1.0,18.0,81.9304,0.0,1226.4483,0.0,94406.0
MaterialViewPager,44,1616,36.7273,16.0,64.4657,4.5455,3.0,4.8439,0.0,26.0,1.2955,1.0,0.5532,1.0,3.0,9.3864,0.0,26.4823,0.0,142.0
otter,1296,68163,52.5949,21.0,180.054,4.5563,3.0,5.2266,0.0,39.0,1.3735,1.0,0.7463,1.0,7.0,32.4545,1.0,252.5435,0.0,6378.0
GhidraMCP,3,1219,406.3333,14.0,682.141,16.3333,4.0,24.9065,0.0,45.0,1.6667,2.0,0.5774,1.0,2.0,459.0,3.0,792.4147,0.0,1374.0
LitePal,201,11830,58.8557,17.0,105.85,5.01,3.0,5.1624,0.0,32.0,1.6517,1.0,0.9582,1.0,6.0,49.4478,0.0,248.8699,0.0,2554.0
XPopup,305,12348,40.4852,11.0,88.9466,4.7049,3.0,6.3208,0.0,50.0,1.577,1.0,1.1275,1.0,9.0,22.9016,0.0,135.8779,0.0,1441.0
subsampling-scale-image-view,72,4262,59.1944,14.5,243.5163,5.625,3.5,6.6193,0.0,47.0,1.5833,1.0,0.8841,1.0,5.0,79.7222,0.0,641.0192,0.0,5442.0
SimianArmy,305,16056,52.6426,26.0,75.252,5.8459,4.0,7.3134,0.0,79.0,1.423,1.0,0.7747,1.0,5.0,25.1607,3.0,112.0055,0.0,1489.0
tomcat,4742,360659,76.0563,22.0,195.4085,4.6219,3.0,5.8363,0.0,85.0,1.8075,1.0,1.6429,1.0,46.0,182.941,0.0,4465.1818,0.0,289752.0
hugo,7,384,54.8571,59.0,50.2674,5.7143,7.0,4.2314,1.0,10.0,1.1429,1.0,0.378,1.0,2.0,27.7143,6.0,43.5228,0.0,120.0
1brc,600,53431,89.0517,43.0,106.2934,3.2983,3.0,2.6244,0.0,17.0,1.09,1.0,0.3814,1.0,5.0,7.58,1.0,23.5269,0.0,416.0
jimureport,12,350,29.1667,20.5,19.4601,6.1667,5.0,4.0639,0.0,13.0,1.0,1.0,0.0,1.0,1.0,2.5,1.0,4.0788,0.0,15.0
metrics,732,30088,41.1038,20.0,60.6642,5.5355,4.0,4.6471,0.0,29.0,1.3675,1.0,0.8071,1.0,11.0,9.1407,0.0,38.1976,0.0,664.0
HomeMirror,66,1719,26.0455,11.5,44.0487,2.7273,2.0,4.9444,0.0,35.0,1.0758,1.0,0.2666,1.0,2.0,5.3485,0.0,35.4034,0.0,288.0
CompreFace,333,7766,23.3213,8.0,39.3961,7.8529,6.0,7.325,0.0,42.0,1.6577,1.0,1.3297,1.0,5.0,3.8949,0.0,16.0497,0.0,184.0
hellocharts-android,153,10995,71.8627,41.0,93.3298,6.3007,3.0,6.5011,0.0,26.0,1.5229,1.0,0.8278,1.0,5.0,40.2941,1.0,150.0745,0.0,1095.0
material-theme-jetbrains,357,14517,40.6639,12.0,85.068,4.3277,3.0,4.9306,0.0,45.0,2.2549,2.0,1.4493,1.0,10.0,84.423,1.0,634.4224,0.0,9644.0
Shadow,674,21909,32.5059,12.0,57.3552,4.2596,3.0,4.1372,0.0,30.0,1.7789,1.0,1.0444,1.0,8.0,17.3323,0.0,94.8032,0.0,1328.0
graylog2-server,7837,270009,34.4531,16.0,65.9853,8.22,6.0,9.0743,0.0,162.0,1.3309,1.0,0.7097,1.0,15.0,18.2955,1.0,102.7593,0.0,3403.0
AntennaPod,858,55119,64.2413,28.0,107.7548,7.5886,5.0,9.2027,0.0,91.0,1.4988,1.0,0.8145,1.0,8.0,20.8485,1.0,102.2061,0.0,1521.0
MVVMHabit,319,9110,28.558,8.0,55.8267,3.5831,2.0,3.8262,0.0,28.0,1.2727,1.0,0.6522,1.0,4.0,15.7649,0.0,74.0551,0.0,861.0
PowerJob,755,24684,32.694,14.0,62.0642,5.7841,4.0,6.2354,0.0,41.0,1.1801,1.0,0.5296,1.0,5.0,5.1377,0.0,27.9367,0.0,441.0
RxLifecycle,81,2368,29.2346,24.0,25.9756,6.4568,6.0,6.1706,0.0,19.0,1.6543,1.0,1.1419,1.0,7.0,1.4074,0.0,4.0644,0.0,22.0
vjtools,379,18382,48.5013,26.0,68.0923,3.1346,2.0,3.4733,0.0,22.0,1.277,1.0,0.7627,1.0,6.0,26.3008,1.0,106.8064,0.0,1225.0
MyBookshelf,669,48375,72.3094,18.0,198.2028,6.3363,4.0,7.7355,0.0,74.0,1.4694,1.0,0.8845,1.0,6.0,58.6622,1.0,338.6104,0.0,6629.0
AppManager,1581,128612,81.3485,31.0,145.8291,7.9791,5.0,9.4107,0.0,113.0,1.4693,1.0,0.7359,1.0,5.0,73.871,1.0,1034.3144,0.0,37950.0
mapstruct,4805,103911,21.6256,9.0,48.8819,3.8356,2.0,4.8828,0.0,69.0,1.1744,1.0,0.6035,1.0,11.0,11.189,0.0,73.6633,0.0,3834.0
android-classyshark,212,8714,41.1038,16.5,60.5191,3.1698,2.0,3.5665,0.0,18.0,1.2783,1.0,0.9251,1.0,7.0,10.25,1.0,27.5689,0.0,165.0
AndroidAsync,543,18086,33.3076,8.0,74.4817,3.6133,2.0,5.0226,0.0,48.0,1.5322,1.0,1.7465,1.0,29.0,19.4401,0.0,84.1103,0.0,775.0
TV,651,30987,47.5991,18.0,101.2084,6.8786,4.0,8.888,0.0,75.0,1.4209,1.0,0.698,1.0,4.0,107.1505,1.0,693.1293,0.0,12229.0
RxJava-Android-Samples,86,2633,30.6163,13.5,34.2469,6.6279,3.0,7.1522,0.0,29.0,1.8256,1.0,0.9603,1.0,4.0,9.1977,3.0,25.3488,0.0,208.0
algs4,279,22522,80.724,57.0,96.449,4.0036,4.0,2.5068,0.0,12.0,1.0215,1.0,0.1683,1.0,3.0,47.4695,0.0,263.5181,0.0,3145.0
MinecraftForge,1484,56676,38.1914,19.0,63.1389,7.469,6.0,10.0709,0.0,228.0,1.5728,1.0,1.2893,1.0,21.0,32.6914,1.0,368.6887,0.0,12880.0
gnirehtet,81,4330,53.4568,40.0,64.0986,3.7654,2.0,3.5961,0.0,19.0,1.1852,1.0,0.527,1.0,3.0,14.2963,1.0,35.2514,0.0,225.0
LeetCode,145,3441,23.731,20.0,17.0556,1.2414,1.0,0.6695,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.8414,0.0,2.3264,0.0,21.0
swagger-core,1613,46859,29.0508,8.0,118.2949,4.6311,3.0,6.757,0.0,147.0,1.225,1.0,0.6198,1.0,9.0,49.9665,0.0,737.3536,0.0,27101.0
VBlog,29,781,26.931,16.0,27.7951,4.5517,4.0,3.6212,0.0,13.0,1.0345,1.0,0.1857,1.0,2.0,29.069,1.0,92.8412,0.0,464.0
SpringCloud-Learning,314,13482,42.9363,21.0,59.0815,5.8631,4.0,5.8313,0.0,42.0,1.0446,1.0,0.2613,1.0,4.0,28.5541,1.0,87.526,0.0,540.0
DependencyCheck,513,41973,81.8187,41.0,139.1483,6.7076,5.0,7.3448,0.0,73.0,1.7817,2.0,0.9474,1.0,10.0,64.0682,3.0,350.316,0.0,5230.0
Mapper,464,19455,41.9289,16.0,75.0499,5.0862,4.0,4.6368,0.0,34.0,1.2435,1.0,0.5288,1.0,4.0,36.2371,0.0,176.562,0.0,2016.0
RePlugin,456,30275,66.3925,22.5,114.1844,5.1974,3.0,6.2572,0.0,52.0,1.4167,1.0,0.6775,1.0,5.0,32.0197,0.0,182.8242,0.0,3192.0
ShortcutBadger,31,885,28.5484,16.0,32.4765,5.2903,5.0,4.5912,0.0,23.0,1.1613,1.0,0.4544,1.0,3.0,3.4839,1.0,7.5316,0.0,29.0
enso,2749,129727,47.1906,23.0,75.9759,6.4507,5.0,6.7102,0.0,102.0,1.6573,1.0,1.2883,1.0,32.0,36.5657,1.0,351.0661,0.0,12246.0
dagger,405,8017,19.7951,5.0,53.9351,3.1802,3.0,2.9467,0.0,20.0,1.2296,1.0,0.7169,1.0,8.0,6.0025,0.0,45.4179,0.0,820.0
Android-Bootstrap,79,10389,131.5063,23.0,421.3571,6.962,3.0,8.3212,0.0,34.0,1.6709,1.0,0.8582,1.0,4.0,31.3924,2.0,77.891,0.0,507.0
gocd,5280,257390,48.7481,22.0,87.161,7.5148,5.0,9.1214,0.0,121.0,1.2631,1.0,0.7031,1.0,19.0,34.4968,1.0,319.9048,0.0,16198.0
astron-rpa,976,39850,40.8299,11.0,117.7654,5.6004,3.0,8.8584,0.0,115.0,1.1383,1.0,0.4253,1.0,4.0,38.1957,0.0,231.9137,0.0,5151.0
WeChatLuckyMoney,21,931,44.3333,21.0,60.0236,5.381,3.0,5.1232,1.0,18.0,1.381,1.0,0.4976,1.0,2.0,8.8095,1.0,18.4245,0.0,66.0
sweet-alert-dialog,16,943,58.9375,23.0,80.8418,4.375,1.5,5.5362,0.0,19.0,1.25,1.0,0.4472,1.0,2.0,31.0625,0.0,88.9498,0.0,337.0
xmall,316,45165,142.9272,42.5,232.8906,4.3101,3.0,5.4142,0.0,34.0,1.1614,1.0,0.417,1.0,4.0,616.3734,13.0,2797.1628,0.0,24268.0
TakePhoto,55,2403,43.6909,28.0,61.3762,5.0545,2.0,5.81,0.0,30.0,1.2545,1.0,0.5517,1.0,3.0,10.8909,1.0,22.5805,0.0,120.0
nanohttpd,144,7106,49.3472,21.0,83.7346,4.3403,3.0,4.3616,0.0,31.0,1.7917,1.0,1.5639,1.0,16.0,22.1597,1.0,88.2692,0.0,859.0
UltimateRecyclerView,382,16083,42.1021,13.0,99.2176,5.2147,3.0,6.0463,0.0,48.0,1.6937,1.0,1.0834,1.0,7.0,41.3927,0.0,268.3171,0.0,3682.0
KnowStreaming,934,31517,33.7441,12.0,64.7334,6.9722,4.0,7.5284,0.0,54.0,1.8116,1.0,1.0862,1.0,7.0,10.3223,0.0,44.6116,0.0,769.0
wiremock,1843,77821,42.2252,19.0,71.8645,5.8378,4.0,6.7996,0.0,116.0,1.3646,1.0,0.798,1.0,8.0,69.8779,1.0,798.6793,0.0,29148.0
agera,290,10897,37.5759,13.0,69.1467,6.3276,4.0,6.6857,0.0,36.0,1.2414,1.0,0.5362,1.0,5.0,14.8448,0.0,106.4947,0.0,1692.0
error-prone,3051,107010,35.0737,17.0,62.4175,7.9951,5.0,14.1271,0.0,636.0,1.5516,1.0,1.1051,1.0,26.0,27.2471,0.0,344.8592,0.0,10878.0
alluxio,4027,252449,62.6891,30.0,120.3134,6.9752,5.0,8.4278,0.0,181.0,1.4817,1.0,1.4817,1.0,68.0,30.6588,1.0,238.1727,0.0,8911.0
JavaTutorial,3,14,4.6667,6.0,2.3094,0.3333,0.0,0.5774,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3333,0.0,0.5774,0.0,1.0
rest-assured,706,29029,41.1176,14.0,75.8904,5.796,4.0,6.3204,0.0,50.0,1.2139,1.0,0.5255,1.0,7.0,105.9249,1.0,577.8845,0.0,8438.0
SmartTabLayout,45,1912,42.4889,27.0,69.2166,6.3556,4.0,5.7767,0.0,26.0,1.6444,1.0,0.9806,1.0,5.0,9.7111,1.0,27.8915,0.0,135.0
hertzbeat,1722,81566,47.367,20.0,101.8396,7.0697,5.0,6.7842,0.0,55.0,1.2485,1.0,1.3724,1.0,52.0,13.0319,0.0,57.9551,0.0,845.0
traccar,1834,69487,37.8882,13.0,79.8005,5.6625,4.0,4.295,0.0,47.0,1.9537,2.0,0.8135,1.0,6.0,6.0038,0.0,48.2699,0.0,1228.0
ActionBarSherlock,427,26463,61.9742,18.0,129.7103,6.2834,4.0,7.1112,0.0,49.0,1.9508,1.0,1.5654,1.0,11.0,63.3981,0.0,264.2789,0.0,3221.0
Timber,453,21859,48.2539,14.0,134.2054,5.3996,3.0,6.6799,0.0,60.0,1.4614,1.0,0.8155,1.0,8.0,19.7483,0.0,171.8548,0.0,3304.0
netty-socketio,176,6758,38.3977,15.0,61.0204,4.8239,3.0,6.5315,0.0,34.0,1.2557,1.0,0.5529,1.0,5.0,32.1023,0.0,250.0722,0.0,3231.0
elasticsearch-sql,277,33009,119.1661,39.0,474.4617,9.5812,6.0,19.7216,0.0,304.0,2.0794,1.0,1.4991,1.0,7.0,189.5235,1.0,1270.1838,0.0,17212.0
jvm-sandbox,435,14407,33.1195,12.0,58.3528,3.4828,2.0,4.4032,0.0,35.0,1.3264,1.0,0.8281,1.0,9.0,12.3609,0.0,57.5955,0.0,630.0
DroidPlugin,786,22301,28.3728,5.0,96.9098,3.3015,2.0,5.1866,0.0,72.0,4.388,3.0,8.0387,1.0,129.0,3.6997,0.0,23.3284,0.0,304.0
Recaf,1666,79416,47.6687,19.0,82.7098,8.4994,6.0,9.1667,0.0,110.0,1.5906,1.0,1.0154,1.0,18.0,27.2953,1.0,171.3516,0.0,3828.0
