repository_name,class_count,loc_total,loc_mean,loc_median,loc_stdev,cbo_mean,cbo_median,cbo_stdev,cbo_min,cbo_max,dit_mean,dit_median,dit_stdev,dit_min,dit_max,lcom_mean,lcom_median,lcom_stdev,lcom_min,lcom_max
bytecode-viewer,414,21768,52.5797,19.0,91.6918,4.7343,3.0,6.3281,0.0,68.0,2.0531,1.0,1.8391,1.0,10.0,13.6884,0.0,59.0612,0.0,527.0
mockito,2128,53190,24.9953,8.0,49.0541,3.3322,2.0,4.4499,0.0,57.0,1.3985,1.0,1.0798,1.0,19.0,19.0634,0.0,278.7498,0.0,8256.0
pulsar,7103,511049,71.9483,16.0,204.6843,6.8953,4.0,10.3437,0.0,174.0,1.7128,1.0,3.8929,1.0,163.0,89.3228,0.0,1464.4978,0.0,61075.0
quarkus,32780,948525,28.9361,11.0,72.8585,5.1782,4.0,6.3786,0.0,180.0,1.2283,1.0,0.6607,1.0,26.0,53.4915,0.0,6230.3014,0.0,1124250.0
flink-learning,661,15829,23.947,14.0,32.8424,4.3812,3.0,4.4616,0.0,39.0,1.1437,1.0,0.3761,1.0,4.0,3.0227,0.0,17.5201,0.0,210.0
jd-gui,407,19309,47.4423,17.0,79.9642,4.5381,3.0,5.4305,0.0,56.0,2.4177,1.0,2.3389,1.0,15.0,11.1155,1.0,51.0733,0.0,645.0
supertokens-core,1019,113029,110.9215,47.0,177.0703,11.3857,10.0,11.4924,0.0,169.0,1.6124,1.0,1.0902,1.0,17.0,73.6987,3.0,1245.9668,0.0,39595.0
zaproxy,2385,171397,71.8646,24.0,138.3949,4.5866,3.0,5.6209,0.0,53.0,1.956,1.0,1.9337,1.0,32.0,70.9199,1.0,358.625,0.0,6345.0
hadoop,21987,1672366,76.0616,23.0,218.9383,7.4525,4.0,11.3995,0.0,358.0,1.6133,1.0,1.4589,1.0,77.0,70.2991,0.0,941.1769,0.0,85638.0
cryptomator,473,19116,40.4144,22.0,47.9162,8.4186,6.0,8.1377,0.0,40.0,1.4207,1.0,0.9625,1.0,6.0,19.6237,1.0,69.041,0.0,738.0
logstash,933,43865,47.015,23.0,74.8022,5.4202,4.0,5.667,0.0,66.0,1.6206,1.0,2.1182,1.0,52.0,21.4309,1.0,105.7826,0.0,1824.0
Arduino,450,25793,57.3178,18.0,136.5657,4.1267,2.0,6.0255,0.0,69.0,1.7689,1.0,1.9228,1.0,21.0,32.7222,0.0,208.261,0.0,3523.0
CircleImageView,3,360,120.0,12.0,192.281,11.0,5.0,13.0767,2.0,26.0,2.3333,2.0,0.5774,2.0,3.0,178.6667,0.0,309.4597,0.0,536.0
vert.x,2022,168188,83.179,22.0,273.6363,6.6548,4.0,9.3215,0.0,108.0,1.6419,1.0,1.288,1.0,13.0,157.4421,1.0,1612.6157,0.0,61425.0
