name_with_owner,stars,created_at,age_days,age_years,updated_at,days_since_update,primary_language,merged_pull_requests,releases_total,issues_open,issues_closed,issues_total,issues_closed_ratio
codecrafters-io/build-your-own-x,467461,2018-05-09T12:03:18Z,2844,7.786,2026-02-21T00:29:15Z,0,Markdown,145,0,256,629,885,0.710734
sindresorhus/awesome,438929,2014-07-11T13:42:37Z,4242,11.614,2026-02-21T00:26:04Z,0,,693,0,16,347,363,0.955923
freeCodeCamp/freeCodeCamp,437341,2014-12-24T17:49:19Z,4076,11.159,2026-02-21T00:22:11Z,0,TypeScript,27628,0,192,20900,21092,0.990897
public-apis/public-apis,399306,2016-03-20T23:49:42Z,3624,9.922,2026-02-21T00:28:59Z,0,Python,1872,0,6,821,827,0.992745
EbookFoundation/free-programming-books,382842,2013-10-11T06:50:37Z,4515,12.361,2026-02-21T00:26:14Z,0,Python,7326,0,36,1225,1261,0.971451
kamranahmedse/developer-roadmap,349491,2017-03-15T13:45:52Z,3264,8.936,2026-02-21T00:28:45Z,0,TypeScript,4039,1,24,3046,3070,0.992182
jwasham/coding-interview-university,337214,2016-06-06T02:34:12Z,3546,9.708,2026-02-21T00:26:25Z,0,,415,0,71,454,525,0.864762
donnemartin/system-design-primer,336000,2017-02-26T16:15:28Z,3281,8.983,2026-02-21T00:15:14Z,0,Python,203,0,247,109,356,0.30618
vinta/awesome-python,283848,2014-06-27T21:00:06Z,4256,11.652,2026-02-21T00:13:57Z,0,Python,635,0,0,0,0,0.0
996icu/996.ICU,275505,2019-03-26T07:31:14Z,2523,6.908,2026-02-20T21:41:01Z,0,,1072,0,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,274312,2015-06-01T02:33:17Z,3917,10.724,2026-02-21T00:13:37Z,0,,2395,1,0,807,807,1.0
practical-tutorials/project-based-learning,258790,2017-04-12T05:07:46Z,3236,8.86,2026-02-21T00:23:25Z,0,,182,0,147,82,229,0.358079
facebook/react,243246,2013-05-24T16:15:54Z,4655,12.745,2026-02-20T23:21:40Z,0,JavaScript,12736,118,811,13556,14367,0.943551
torvalds/linux,218071,2011-09-04T22:48:12Z,5283,14.464,2026-02-20T23:36:55Z,0,C,0,0,0,0,0,0.0
TheAlgorithms/Python,217931,2016-07-16T09:44:01Z,3506,9.599,2026-02-21T00:26:52Z,0,Python,3046,0,159,1540,1699,0.906416
openclaw/openclaw,214270,2025-11-24T10:16:47Z,88,0.241,2026-02-21T00:31:43Z,0,TypeScript,1679,48,4350,6025,10375,0.580723
vuejs/vue,209968,2013-07-29T03:24:51Z,4589,12.564,2026-02-20T23:21:38Z,0,TypeScript,1136,249,359,9668,10027,0.964197
trimstray/the-book-of-secret-knowledge,207083,2018-06-23T10:43:14Z,2799,7.663,2026-02-21T00:28:38Z,0,,122,0,0,0,0,0.0
ossu/computer-science,201501,2014-05-04T00:18:39Z,4311,11.803,2026-02-20T23:15:18Z,0,HTML,303,0,13,652,665,0.980451
trekhleb/javascript-algorithms,195666,2018-03-24T07:47:04Z,2890,7.912,2026-02-21T00:26:41Z,0,JavaScript,304,0,138,233,371,0.628032
tensorflow/tensorflow,193872,2015-11-07T01:19:20Z,3758,10.289,2026-02-20T22:55:44Z,0,C++,41885,220,881,40285,41166,0.978599
ohmyzsh/ohmyzsh,184896,2009-08-28T18:15:37Z,6020,16.482,2026-02-21T00:26:19Z,0,Shell,3504,0,141,4888,5029,0.971963
getify/You-Dont-Know-JS,184445,2013-11-16T02:37:24Z,4479,12.263,2026-02-20T22:46:22Z,0,,370,0,0,949,949,1.0
CyC2018/CS-Notes,183685,2018-02-13T14:56:24Z,2929,8.019,2026-02-20T13:55:54Z,0,,374,0,128,449,577,0.778163
microsoft/vscode,181947,2015-09-03T20:23:38Z,3823,10.467,2026-02-21T00:26:37Z,0,TypeScript,42567,196,12880,217326,230206,0.94405
Significant-Gravitas/AutoGPT,181903,2023-03-16T09:21:07Z,1072,2.935,2026-02-21T00:10:20Z,0,Python,3913,92,231,3491,3722,0.937937
jackfrued/Python-100-Days,178748,2018-03-01T16:05:52Z,2913,7.975,2026-02-21T00:25:04Z,0,Jupyter Notebook,13,0,521,187,708,0.264124
n8n-io/n8n,175544,2019-06-22T09:24:21Z,2435,6.667,2026-02-21T00:21:23Z,0,TypeScript,13829,532,505,7554,8059,0.937337
flutter/flutter,175269,2015-03-06T22:54:58Z,4004,10.962,2026-02-21T00:03:43Z,0,Dart,46703,7,12174,100034,112208,0.891505
twbs/bootstrap,173997,2011-07-29T21:19:00Z,5320,14.565,2026-02-20T21:07:54Z,0,MDX,9107,94,397,22449,22846,0.982623
github/gitignore,172626,2010-11-08T20:17:14Z,5583,15.285,2026-02-21T00:26:29Z,0,,1727,0,0,0,0,0.0
massgravel/Microsoft-Activation-Scripts,166520,2020-01-12T23:03:34Z,2231,6.108,2026-02-20T23:42:22Z,0,Batchfile,5,29,2,897,899,0.997775
avelino/awesome-go,165620,2014-07-06T13:42:15Z,4247,11.628,2026-02-21T00:22:22Z,0,Go,3569,0,12,711,723,0.983402
ollama/ollama,163022,2023-06-26T19:39:32Z,970,2.656,2026-02-21T00:02:42Z,0,Go,3029,181,1929,7397,9326,0.793159
AUTOMATIC1111/stable-diffusion-webui,160712,2022-08-22T14:05:26Z,1278,3.499,2026-02-21T00:27:00Z,0,Python,1882,27,2396,5481,7877,0.695823
jlevy/the-art-of-command-line,159976,2015-05-20T15:11:03Z,3929,10.757,2026-02-21T00:26:37Z,0,,317,0,122,136,258,0.527132
huggingface/transformers,156758,2018-10-29T13:56:00Z,2671,7.313,2026-02-21T00:20:51Z,0,Python,18617,243,1080,17521,18601,0.941939
Snailclimb/JavaGuide,153810,2018-05-07T13:27:00Z,2846,7.792,2026-02-20T23:56:51Z,0,Java,1210,0,74,1056,1130,0.934513
DigitalPlatDev/FreeDomain,148295,2024-05-30T13:23:00Z,631,1.728,2026-02-21T00:32:09Z,0,HTML,1,0,0,0,0,0.0
airbnb/javascript,148105,2012-11-01T23:13:50Z,4859,13.303,2026-02-20T23:15:36Z,0,JavaScript,812,0,100,1299,1399,0.92852
yt-dlp/yt-dlp,147795,2020-10-26T04:22:55Z,1943,5.32,2026-02-21T00:21:36Z,0,Python,3215,129,1801,9246,11047,0.836969
f/prompts.chat,145861,2022-12-05T13:54:13Z,1173,3.211,2026-02-21T00:32:11Z,0,HTML,199,0,3,124,127,0.976378
langflow-ai/langflow,144933,2023-02-08T22:28:03Z,1108,3.034,2026-02-21T00:10:03Z,0,Python,5673,280,347,2799,3146,0.889701
521xueweihan/HelloGitHub,143386,2016-05-04T06:24:11Z,3579,9.799,2026-02-21T00:17:37Z,0,Python,17,62,269,2681,2950,0.908814
ytdl-org/youtube-dl,139684,2010-10-31T14:35:07Z,5591,15.307,2026-02-21T00:22:44Z,0,Python,1646,341,3629,23188,26817,0.864675
vercel/next.js,137875,2016-10-05T23:32:51Z,3425,9.377,2026-02-20T23:40:01Z,0,JavaScript,25925,1000,2044,22222,24266,0.915767
yangshun/tech-interview-handbook,137722,2016-07-05T05:00:48Z,3517,9.629,2026-02-20T22:30:05Z,0,TypeScript,486,0,43,76,119,0.638655
Genymobile/scrcpy,135927,2017-11-21T18:00:27Z,3013,8.249,2026-02-21T00:01:47Z,0,C,120,50,2660,3283,5943,0.552415
labuladong/fucking-algorithm,132717,2020-02-19T09:01:23Z,2193,6.004,2026-02-20T22:34:41Z,0,Markdown,243,1,0,960,960,1.0
golang/go,132660,2014-08-19T04:33:40Z,4203,11.507,2026-02-20T23:59:14Z,0,Go,1,0,9462,60720,70182,0.865179
microsoft/PowerToys,129947,2019-05-01T17:44:02Z,2487,6.809,2026-02-20T22:57:42Z,0,C#,6285,127,8079,29999,38078,0.78783
langgenius/dify,129875,2023-04-12T07:40:24Z,1045,2.861,2026-02-21T00:15:45Z,0,TypeScript,9495,158,398,16091,16489,0.975863
langchain-ai/langchain,127061,2022-10-17T02:58:36Z,1222,3.346,2026-02-21T00:25:50Z,0,Python,15994,1000,229,8849,9078,0.974774
Chalarangelo/30-seconds-of-code,126826,2017-11-29T17:35:03Z,3005,8.227,2026-02-20T20:58:23Z,0,JavaScript,835,12,0,300,300,1.0
facebook/react-native,125428,2015-01-09T18:10:16Z,4060,11.116,2026-02-21T00:10:12Z,0,C++,953,441,742,26819,27561,0.973078
open-webui/open-webui,124451,2023-10-06T22:08:27Z,868,2.376,2026-02-21T00:28:14Z,0,Python,3204,147,175,7489,7664,0.977166
krahets/hello-algo,122363,2022-11-04T11:08:34Z,1204,3.296,2026-02-20T22:30:12Z,0,Java,968,10,8,274,282,0.971631
kubernetes/kubernetes,120684,2014-06-06T22:56:04Z,4277,11.71,2026-02-21T00:24:22Z,0,Go,63861,779,1848,46716,48564,0.961947
electron/electron,120170,2013-04-12T01:47:36Z,4697,12.86,2026-02-20T21:38:35Z,0,C++,24388,1000,744,20709,21453,0.96532
ripienaar/free-for-dev,118085,2015-03-18T21:06:26Z,3992,10.93,2026-02-20T23:09:53Z,0,HTML,2880,0,0,0,0,0.0
excalidraw/excalidraw,117194,2020-01-02T01:04:43Z,2241,6.136,2026-02-21T00:17:33Z,0,TypeScript,3828,14,2084,2534,4618,0.548722
justjavac/free-programming-books-zh_CN,116330,2013-11-04T01:59:19Z,4491,12.296,2026-02-20T16:12:02Z,0,,282,3,0,0,0,0.0
nodejs/node,115864,2014-11-26T19:57:11Z,4104,11.236,2026-02-20T22:48:06Z,0,JavaScript,11799,481,1753,18292,20045,0.912547
x1xhlol/system-prompts-and-models-of-ai-tools,115342,2025-03-05T16:38:29Z,352,0.964,2026-02-21T00:30:09Z,0,,45,0,77,102,179,0.569832
d3/d3,112384,2010-09-27T17:22:42Z,5625,15.4,2026-02-20T18:14:09Z,0,Shell,494,194,10,2229,2239,0.995534
iptv-org/iptv,111813,2018-11-14T22:00:57Z,2655,7.269,2026-02-21T00:30:22Z,0,TypeScript,6801,0,339,21020,21359,0.984128
mrdoob/three.js,110999,2010-03-23T18:58:01Z,5813,15.915,2026-02-21T00:12:36Z,0,JavaScript,15180,175,443,13043,13486,0.967151
rust-lang/rust,110550,2010-06-16T20:39:03Z,5728,15.682,2026-02-21T00:12:11Z,0,Rust,69274,146,11108,50346,61454,0.819247
axios/axios,108609,2014-08-18T22:30:27Z,4204,11.51,2026-02-20T18:26:31Z,0,JavaScript,1125,108,198,4753,4951,0.960008
microsoft/TypeScript,107879,2014-06-17T15:28:39Z,4266,11.68,2026-02-21T00:15:28Z,0,TypeScript,14848,214,4967,37977,42944,0.884338
rustdesk/rustdesk,107826,2020-09-28T15:36:08Z,1971,5.396,2026-02-20T23:20:55Z,0,Rust,3918,35,68,3918,3986,0.98294
anomalyco/opencode,107690,2025-04-30T20:08:00Z,296,0.81,2026-02-21T00:29:13Z,0,TypeScript,2454,720,4070,4719,8789,0.536921
Hack-with-Github/Awesome-Hacking,107016,2016-03-30T15:47:10Z,3614,9.895,2026-02-21T00:28:52Z,0,,34,0,0,0,0,0.0
shadcn-ui/ui,106990,2023-01-04T12:43:27Z,1143,3.129,2026-02-21T00:21:18Z,0,TypeScript,993,75,987,2915,3902,0.747053
godotengine/godot,106897,2014-01-04T16:05:36Z,4430,12.129,2026-02-20T23:33:28Z,0,C++,41252,66,12936,48131,61067,0.788167
microsoft/generative-ai-for-beginners,106671,2023-06-19T16:28:59Z,977,2.675,2026-02-20T23:47:42Z,0,Jupyter Notebook,521,0,4,201,205,0.980488
denoland/deno,106266,2018-05-15T01:34:26Z,2838,7.77,2026-02-20T23:40:00Z,0,Rust,14154,363,2449,11462,13911,0.823952
GrowingGit/GitHub-Chinese-Top-Charts,106221,2019-09-05T03:01:56Z,2360,6.461,2026-02-20T16:48:28Z,0,Java,0,0,181,162,343,0.472303
goldbergyoni/nodebestpractices,105109,2017-09-15T08:33:19Z,3080,8.433,2026-02-20T21:54:04Z,0,Dockerfile,766,0,46,287,333,0.861862
fatedier/frp,104620,2015-12-21T15:24:59Z,3714,10.168,2026-02-20T22:54:36Z,0,Go,727,109,48,4002,4050,0.988148
facebook/create-react-app,103923,2016-07-17T14:55:11Z,3505,9.596,2026-02-20T21:29:37Z,0,JavaScript,1949,83,1846,6573,8419,0.780734
Comfy-Org/ComfyUI,103727,2023-01-17T03:15:56Z,1130,3.094,2026-02-21T00:31:14Z,0,Python,2117,119,3404,4462,7866,0.567251
papers-we-love/papers-we-love,103443,2013-12-15T14:31:41Z,4450,12.183,2026-02-20T23:50:48Z,0,Shell,438,0,2,245,247,0.991903
tauri-apps/tauri,103017,2019-07-13T09:09:37Z,2414,6.609,2026-02-21T00:11:06Z,0,Rust,5385,0,1244,4901,6145,0.797559
microsoft/terminal,101855,2017-08-11T18:38:22Z,3115,8.528,2026-02-20T23:14:47Z,0,C++,4358,146,1650,12148,13798,0.880417
deepseek-ai/DeepSeek-V3,101637,2024-12-26T09:52:40Z,421,1.153,2026-02-20T19:48:37Z,0,Python,25,1,40,665,705,0.943262
angular/angular,99980,2014-09-18T16:12:01Z,4173,11.425,2026-02-21T00:22:50Z,0,TypeScript,5509,601,994,29338,30332,0.967229
jaywcjlove/awesome-mac,99030,2016-07-17T15:33:47Z,3505,9.596,2026-02-21T00:17:08Z,0,JavaScript,1066,13,131,377,508,0.742126
Anduin2017/HowToCook,98052,2020-02-29T10:43:49Z,2183,5.977,2026-02-20T23:18:03Z,0,Dockerfile,612,4,460,364,824,0.441748
supabase/supabase,97939,2019-10-12T05:56:49Z,2323,6.36,2026-02-20T23:29:59Z,0,TypeScript,15384,25,264,4931,5195,0.949182
mui/material-ui,97933,2014-08-18T19:11:54Z,4204,11.51,2026-02-20T23:24:52Z,0,JavaScript,21417,555,1601,18734,20335,0.921269
mtdvio/every-programmer-should-know,97844,2017-08-24T13:18:26Z,3102,8.493,2026-02-20T20:13:37Z,0,,110,0,12,31,43,0.72093
clash-verge-rev/clash-verge-rev,97826,2023-11-21T18:24:03Z,822,2.251,2026-02-21T00:10:47Z,0,TypeScript,728,62,141,4802,4943,0.971475
ant-design/ant-design,97627,2015-04-24T15:37:24Z,3955,10.828,2026-02-20T21:50:32Z,0,TypeScript,16975,739,1298,31067,32365,0.959895
pytorch/pytorch,97625,2016-08-13T05:26:41Z,3478,9.522,2026-02-21T00:17:21Z,0,Python,6414,64,16052,40835,56887,0.717827
2dust/v2rayN,97085,2019-07-30T03:47:24Z,2397,6.563,2026-02-21T00:25:20Z,0,C#,372,297,11,6556,6567,0.998325
neovim/neovim,96631,2014-01-31T13:39:22Z,4403,12.055,2026-02-20T23:42:00Z,0,Vim Script,17624,48,1657,12059,13716,0.879192
Shubhamsaboo/awesome-llm-apps,96295,2024-04-29T05:30:25Z,662,1.812,2026-02-20T23:12:29Z,0,Python,166,0,3,117,120,0.975
nvbn/thefuck,95515,2015-04-08T15:08:04Z,3971,10.872,2026-02-20T22:01:31Z,0,Python,481,17,296,476,772,0.61658
ggml-org/llama.cpp,95476,2023-03-10T18:58:00Z,1078,2.951,2026-02-21T00:15:31Z,0,C++,7385,1000,408,6571,6979,0.941539
